"Role","Test","Method","Url","Expected","Result","Detail"
"ADMIN","Login","POST","/api/auth/login","200","PASS","HTTP 200"
"ADMIN","Perfil","GET","/api/usuarios/perfil/137","200","PASS","HTTP 200"
"ADMIN","Mis reservas coworking","GET","/api/reservas/mis","200","PASS","HTTP 200"
"ADMIN","Mis reservas cancha","GET","/api/cancha/mis","200","PASS","HTTP 200"
"ADMIN","Pendientes vehiculos","GET","/api/vehiculos/solicitudes/pendientes","200","PASS","HTTP 200"
"ADMIN","Admin vehiculos todas","GET","/api/vehiculos/admin/todas","200","PASS","HTTP 200"
"ADMIN","Desbloqueo usuario","PUT","/api/usuarios/9000000009/desbloquear","200/400","PASS","HTTP 200"
"ADMIN_VEHICULOS","Login","POST","/api/auth/login","200","PASS","HTTP 200"
"ADMIN_VEHICULOS","Perfil","GET","/api/usuarios/perfil/138","200","PASS","HTTP 200"
"ADMIN_VEHICULOS","Mis reservas coworking","GET","/api/reservas/mis","200","PASS","HTTP 200"
"ADMIN_VEHICULOS","Mis reservas cancha","GET","/api/cancha/mis","200","PASS","HTTP 200"
"ADMIN_VEHICULOS","Pendientes vehiculos","GET","/api/vehiculos/solicitudes/pendientes","200","PASS","HTTP 200"
"ADMIN_VEHICULOS","Choferes","GET","/api/vehiculos/choferes","200","PASS","HTTP 200"
"ADMIN_COWORKING","Login","POST","/api/auth/login","200","PASS","HTTP 200"
"ADMIN_COWORKING","Perfil","GET","/api/usuarios/perfil/139","200","PASS","HTTP 200"
"ADMIN_COWORKING","Mis reservas coworking","GET","/api/reservas/mis","200","PASS","HTTP 200"
"ADMIN_COWORKING","Mis reservas cancha","GET","/api/cancha/mis","200","PASS","HTTP 200"
"ADMIN_COWORKING","Reservas todas coworking","GET","/api/reservas/todas","200","PASS","HTTP 200"
"ADMIN_CANCHAS","Login","POST","/api/auth/login","200","PASS","HTTP 200"
"ADMIN_CANCHAS","Perfil","GET","/api/usuarios/perfil/140","200","PASS","HTTP 200"
"ADMIN_CANCHAS","Mis reservas coworking","GET","/api/reservas/mis","200","PASS","HTTP 200"
"ADMIN_CANCHAS","Mis reservas cancha","GET","/api/cancha/mis","200","PASS","HTTP 200"
"ADMIN_CANCHAS","Reservas todas cancha","GET","/api/cancha/todas","200","PASS","HTTP 200"
"TALENTO_HUMANO","Login","POST","/api/auth/login","200","PASS","HTTP 200"
"TALENTO_HUMANO","Perfil","GET","/api/usuarios/perfil/141","200","PASS","HTTP 200"
"TALENTO_HUMANO","Mis reservas coworking","GET","/api/reservas/mis","200","PASS","HTTP 200"
"TALENTO_HUMANO","Mis reservas cancha","GET","/api/cancha/mis","200","PASS","HTTP 200"
"TALENTO_HUMANO","Documentos TH","GET","/talento-humano/documentos/141","200/404","PASS","HTTP 200"
"TALENTO_HUMANO","Crear o activar","POST","/talento-humano/crear-o-activar","200/400","PASS","HTTP 200"
"CHOFER","Login","POST","/api/auth/login","200","PASS","HTTP 200"
"CHOFER","Perfil","GET","/api/usuarios/perfil/142","200","PASS","HTTP 200"
"CHOFER","Mis reservas coworking","GET","/api/reservas/mis","200","PASS","HTTP 200"
"CHOFER","Mis reservas cancha","GET","/api/cancha/mis","200","PASS","HTTP 200"
"CHOFER","Reservas chofer","GET","/api/vehiculos/chofer","200","PASS","HTTP 200"
"CHOFER","Orden movilizacion chofer","GET","/api/vehiculos/chofer/orden-movilizacion/1","200/400/404","FAIL","HTTP 500"
"SERVIDOR_AZVCH","Login","POST","/api/auth/login","200","PASS","HTTP 200"
"SERVIDOR_AZVCH","Perfil","GET","/api/usuarios/perfil/143","200","PASS","HTTP 200"
"SERVIDOR_AZVCH","Mis reservas coworking","GET","/api/reservas/mis","200","PASS","HTTP 200"
"SERVIDOR_AZVCH","Mis reservas cancha","GET","/api/cancha/mis","200","PASS","HTTP 200"
"SERVIDOR_AZVCH","Mis solicitudes vehiculos","GET","/api/vehiculos/solicitudes/mis","200","PASS","HTTP 200"
"SERVIDOR_AZVCH","Crear solicitud vehiculo","POST","/api/vehiculos/solicitudes","200/400","PASS","HTTP 400"
"SERVIDOR_PUBLICO","Login","POST","/api/auth/login","200","PASS","HTTP 200"
"SERVIDOR_PUBLICO","Perfil","GET","/api/usuarios/perfil/144","200","PASS","HTTP 200"
"SERVIDOR_PUBLICO","Mis reservas coworking","GET","/api/reservas/mis","200","PASS","HTTP 200"
"SERVIDOR_PUBLICO","Mis reservas cancha","GET","/api/cancha/mis","200","PASS","HTTP 200"
"SERVIDOR_PUBLICO","Acceso vehiculos prohibido","GET","/api/vehiculos/solicitudes/mis","403","PASS","HTTP 403"
"PRIVADO","Login","POST","/api/auth/login","200","PASS","HTTP 200"
"PRIVADO","Perfil","GET","/api/usuarios/perfil/145","200","PASS","HTTP 200"
"PRIVADO","Mis reservas coworking","GET","/api/reservas/mis","200","PASS","HTTP 200"
"PRIVADO","Mis reservas cancha","GET","/api/cancha/mis","200","PASS","HTTP 200"
"PRIVADO","Acceso vehiculos prohibido","GET","/api/vehiculos/solicitudes/mis","403","PASS","HTTP 403"
"ESTUDIANTE","Login","POST","/api/auth/login","200","PASS","HTTP 200"
"ESTUDIANTE","Perfil","GET","/api/usuarios/perfil/146","200","PASS","HTTP 200"
"ESTUDIANTE","Mis reservas coworking","GET","/api/reservas/mis","200","PASS","HTTP 200"
"ESTUDIANTE","Mis reservas cancha","GET","/api/cancha/mis","200","PASS","HTTP 200"
"ESTUDIANTE","Acceso vehiculos prohibido","GET","/api/vehiculos/solicitudes/mis","403","PASS","HTTP 403"
